Permissive,Description,Logic
XC7145_Perm2.Inp_Perm06,,
XC7145_Perm2.Inp_Perm07,,
XC7145_Perm2.Inp_Perm08,,
XC7145_Perm3.Inp_Perm00,,
XC7145_Perm3.Inp_Perm01,,
XC7145_Perm3.Inp_Perm02,,
XC7145_Perm3.Inp_Perm03,,
XC7145_Perm3.Inp_Perm04,,
XC7145_Perm3.Inp_Perm05,,
XC7145_Perm3.Inp_Perm06,,
XC7145_Perm3.Inp_Perm07,,
XC7145_Perm3.Inp_Perm08,,
XC7146_Perm0.Inp_Perm00,,
XC7146_Perm0.Inp_Perm01,,
XC7146_Perm0.Inp_Perm02,,
XC7146_Perm0.Inp_Perm03,,
XC7146_Perm0.Inp_Perm04,,
XC7146_Perm0.Inp_Perm05,,
XC7146_Perm0.Inp_Perm06,,
XC7146_Perm0.Inp_Perm07,,
XC7146_Perm0.Inp_Perm08,,
XC7146_Perm1.Inp_Perm00,,
XC7146_Perm1.Inp_Perm01,,
XC7146_Perm1.Inp_Perm02,,
XC7146_Perm1.Inp_Perm03,,
XC7146_Perm1.Inp_Perm04,,
XC7146_Perm1.Inp_Perm05,,
XC7146_Perm1.Inp_Perm06,,
XC7146_Perm1.Inp_Perm07,,
XC7146_Perm1.Inp_Perm08,,
XC7146_Perm2.Inp_Perm00,,
XC7146_Perm2.Inp_Perm01,,
XC7146_Perm2.Inp_Perm02,,
XC7146_Perm2.Inp_Perm03,,
XC7146_Perm2.Inp_Perm04,,
XC7146_Perm2.Inp_Perm05,,
XC7146_Perm2.Inp_Perm06,,
XC7146_Perm2.Inp_Perm07,,
XC7146_Perm2.Inp_Perm08,,
XC7146_Perm3.Inp_Perm00,,
XC7146_Perm3.Inp_Perm01,,
XC7146_Perm3.Inp_Perm02,,
XC7146_Perm3.Inp_Perm03,,
XC7146_Perm3.Inp_Perm04,,
XC7146_Perm3.Inp_Perm05,,
XC7146_Perm3.Inp_Perm06,,
XC7146_Perm3.Inp_Perm07,,
XC7146_Perm3.Inp_Perm08,,
XC7150_Perm0.Inp_Perm00,,
XC7150_Perm0.Inp_Perm01,,
XC7150_Perm0.Inp_Perm02,,
XC7150_Perm0.Inp_Perm03,,
XC7150_Perm0.Inp_Perm04,,
XC7150_Perm0.Inp_Perm05,,
XC7150_Perm0.Inp_Perm06,,
XC7150_Perm0.Inp_Perm07,,
XC7150_Perm0.Inp_Perm08,,
XC7150_Perm1.Inp_Perm00,,
XC7150_Perm1.Inp_Perm01,,
XC7150_Perm1.Inp_Perm02,,
XC7150_Perm1.Inp_Perm03,,
XC7150_Perm1.Inp_Perm04,,
XC7150_Perm1.Inp_Perm05,,
XC7150_Perm1.Inp_Perm06,,
